Date,Close
1277,16.867332
1278,17.654667
1279,17.587999
1280,17.785999
1281,17.743334
1282,17.332666
1283,17.752001
1284,18.008667
1285,16.408667
1286,16.167334
1287,16.076000
1288,15.824667
1289,15.878000
1290,16.167334
1291,16.209999
1292,16.999332
1293,17.381332
1294,17.016666
1295,16.145332
1296,15.384667
1297,14.591333
1298,14.668667
1299,14.989333
1300,16.199333
1301,16.565332
1302,16.604000
1303,15.908667
1304,16.512667
1305,16.371332
1306,16.128668
1307,16.544666
1308,16.594000
1309,16.565332
1310,16.682667
1311,16.879333
1312,16.904667
1313,17.483334
1314,17.471333
1315,17.374666
1316,17.613333
1317,17.396000
1318,17.403999
1319,17.541332
1320,17.127333
1321,16.562000
1322,16.443333
1323,16.559999
1324,15.992000
1325,16.504667
1326,16.410000
1327,16.097334
1328,15.464000
1329,15.114667
1330,14.712667
1331,14.372000
1332,14.616667
1333,14.458667
1334,14.754000
1335,15.134000
1336,15.206667
1337,14.202000
1338,14.006000
1339,14.114667
1340,13.939333
1341,14.350667
1342,14.023333
1343,14.197333
1344,14.108667
1345,13.795333
1346,14.252667
1347,13.890000
1348,15.442000
1349,15.451333
1350,15.490667
1351,15.022000
1352,14.433333
1353,14.605333
1354,14.196000
1355,13.812667
1356,14.287333
1357,14.266667
1358,14.738000
1359,14.786667
1360,14.667333
1361,14.516667
1362,14.550000
1363,15.309333
1364,15.440667
1365,15.350667
1366,15.812667
1367,15.466000
1368,15.514000
1369,15.358667
1370,15.408667
1371,15.114667
1372,14.968000
1373,15.138000
1374,14.468000
1375,14.572000
1376,14.739333
1377,15.634000
1378,15.559333
1379,15.364000
1380,15.504000
1381,15.330000
1382,15.313333
1383,15.371333
1384,15.263333
1385,15.812667
1386,15.872667
1387,16.000668
1388,14.894000
1389,14.895333
1390,14.602667
1391,14.376667
1392,14.066667
1393,13.856667
1394,13.998000
1395,13.354000
1396,13.745333
1397,13.666000
1398,13.648000
1399,13.246667
1400,13.331333
1401,13.503333
1402,13.092000
1403,12.904000
1404,12.538000
1405,12.646667
1406,12.746667
1407,13.129333
1408,12.185333
1409,11.565333
1410,11.688667
1411,10.840000
1412,9.866000
1413,9.883333
1414,9.578000
1415,10.031333
1416,10.069333
1417,10.344667
1418,11.245333
1419,11.118000
1420,11.105333
1421,11.849333
1422,11.814000
1423,11.933333
1424,12.495333
1425,12.689333
1426,12.795333
1427,12.423333
1428,12.556000
1429,13.049333
1430,13.402667
1431,13.686000
1432,13.506667
1433,13.914667
1434,13.678667
1435,13.833333
1436,14.343333
1437,14.556000
1438,14.795333
1439,15.092000
1440,15.516000
1441,15.888000
1442,15.616000
1443,14.838667
1444,15.183333
1445,15.350667
1446,15.342000
1447,15.126000
1448,15.318000
1449,15.839333
1450,16.466000
1451,17.031334
1452,17.694668
1453,17.146667
1454,16.671333
1455,16.661333
1456,16.521334
1457,16.968666
1458,16.790667
1459,16.967333
1460,16.925333
1461,16.491333
1462,16.664667
1463,16.552668
1464,16.916668
1465,16.788000
1466,16.916000
1467,16.764668
1468,16.514000
1469,16.050667
1470,16.120001
1471,15.488000
1472,14.837333
1473,14.102000
1474,14.328667
1475,13.928000
1476,13.912667
1477,13.930667
1478,13.818667
1479,13.840667
1480,13.886000
1481,13.644000
1482,14.078000
1483,14.347333
1484,14.685333
1485,14.414667
1486,14.527333
1487,14.638667
1488,15.008000
1489,14.869333
1490,14.882000
1491,14.637333
1492,14.597333
1493,14.599333
1494,14.712000
1495,15.489333
1496,15.701333
1497,15.290667
1498,14.586000
1499,14.524667
1500,14.330667
1501,14.513333
1502,14.528667
1503,14.364667
1504,14.646667
1505,14.640667
1506,13.110667
1507,13.093333
1508,12.876667
1509,13.236667
1510,13.452667
1511,14.012667
1512,14.152000
1513,14.433333
1514,14.265333
1515,14.296000
1516,14.396000
1517,14.452000
1518,14.985333
1519,14.976667
1520,14.835333
1521,14.768667
1522,14.693333
1523,15.083333
1524,15.017333
1525,15.224000
1526,14.700000
1527,14.818000
1528,15.334000
1529,15.300667
1530,15.232667
1531,15.374000
1532,15.652667
1533,15.334000
1534,15.146667
1535,15.052667
1536,15.374000
1537,15.335333
1538,15.077333
1539,15.272000
1540,15.043333
1541,14.994000
1542,15.040667
1543,15.039333
1544,14.907333
1545,14.882667
1546,14.900667
1547,15.000000
1548,14.862000
1549,14.989333
1550,14.841333
1551,14.730667
1552,14.666000
1553,14.346667
1554,14.089333
1555,14.134000
1556,13.384667
1557,13.185333
1558,13.522000
1559,13.447333
1560,13.157333
1561,12.964667
1562,13.220000
1563,13.070000
1564,13.094000
1565,13.361333
1566,13.693333
1567,13.756000
1568,13.642667
1569,13.681333
1570,13.762000
1571,13.830000
1572,13.932667
1573,13.720667
1574,13.751333
1575,13.380000
1576,13.602000
1577,14.246667
1578,14.094000
1579,13.897333
1580,13.400000
1581,13.107333
1582,13.396667
1583,13.340000
1584,13.434000
1585,13.349333
1586,13.100667
1587,12.930667
1588,13.273333
1589,13.570667
1590,13.273333
1591,13.339333
1592,13.517333
1593,13.489333
1594,13.482667
1595,13.600667
1596,13.331333
1597,13.182000
1598,12.719333
1599,12.534667
1600,12.494667
1601,12.704000
1602,12.880667
1603,12.996000
1604,12.670667
1605,12.356667
1606,12.570667
1607,12.096667
1608,12.251333
1609,12.262000
1610,12.577333
1611,12.334667
1612,12.301333
1613,12.744667
1614,12.876000
1615,13.110000
1616,13.074667
1617,12.638000
1618,12.626667
1619,12.125333
1620,12.098000
1621,12.453333
1622,12.390000
1623,12.876667
1624,12.819333
1625,12.812000
1626,12.828667
1627,13.210000
1628,13.246000
1629,13.172000
1630,13.499333
1631,13.515333
1632,13.919333
1633,13.846667
1634,13.896667
1635,14.222667
1636,14.635333
1637,14.649333
1638,14.312000
1639,14.246000
1640,14.466000
1641,15.132667
1642,15.116667
1643,15.267333
1644,15.418667
1645,15.324667
1646,15.315333
1647,15.306000
1648,15.850000
1649,15.705333
1650,15.890667
1651,16.250668
1652,16.315332
1653,16.594667
1654,16.974001
1655,16.964666
1656,16.834000
1657,16.863333
1658,16.708668
1659,16.795334
1660,16.615999
1661,16.770000
1662,16.755333
1663,17.184668
1664,17.165333
1665,17.472000
1666,17.946667
1667,17.948668
1668,18.706667
1669,18.732000
1670,18.650667
1671,17.930000
1672,18.148666
1673,18.492666
1674,18.233999
1675,17.066000
1676,17.133333
1677,16.415333
1678,16.666000
1679,16.667999
1680,16.698668
1681,16.771334
1682,16.747334
1683,16.572666
1684,16.458000
1685,16.326668
1686,16.246000
1687,16.411333
1688,17.200001
1689,17.048668
1690,17.469999
1691,17.433332
1692,17.461332
1693,16.712000
1694,17.000668
1695,16.985332
1696,17.544001
1697,18.014668
1698,18.496668
1699,18.492001
1700,18.528000
1701,18.553333
1702,19.901333
1703,20.246668
1704,19.666668
1705,19.913334
1706,20.169333
1707,20.826000
1708,20.580667
1709,19.789333
1710,20.266666
1711,20.096001
1712,20.016666
1713,20.368000
1714,20.167334
1715,20.373333
1716,20.535334
1717,20.919333
1718,20.677999
1719,20.575333
1720,20.938000
1721,21.521999
1722,21.259333
1723,20.734667
1724,19.697332
1725,20.556667
1726,20.479334
1727,21.417334
1728,21.681334
1729,21.540001
1730,21.653999
1731,21.058666
1732,21.134001
1733,20.407333
1734,20.870667
1735,20.722000
1736,20.690001
1737,20.257334
1738,20.681334
1739,21.122000
1740,21.676001
1741,22.340000
1742,22.733999
1743,22.691334
1744,22.656668
1745,23.154667
1746,23.523333
1747,23.976667
1748,24.666668
1749,23.821333
1750,23.934000
1751,25.063334
1752,25.377333
1753,25.022667
1754,24.760000
1755,24.653334
1756,24.816000
1757,25.093332
1758,25.507334
1759,25.563334
1760,25.166000
1761,24.158001
1762,24.749332
1763,24.049999
1764,24.107332
1765,23.507999
1766,21.806000
1767,20.588667
1768,20.881332
1769,21.070000
1770,21.814667
1771,21.968000
1772,21.560667
1773,21.851999
1774,21.304667
1775,21.882668
1776,21.684000
1777,21.994667
1778,21.893333
1779,22.834667
1780,22.639999
1781,22.923332
1782,22.297333
1783,22.337999
1784,21.564667
1785,21.304667
1786,21.726000
1787,23.139334
1788,23.794001
1789,23.677999
1790,24.348000
1791,24.235332
1792,23.693333
1793,23.858000
1794,24.253332
1795,24.155333
1796,24.194000
1797,23.461332
1798,23.164000
1799,22.524000
1800,22.756666
1801,23.518000
1802,23.528667
1803,23.203333
1804,23.044001
1805,23.157333
1806,23.545334
1807,23.726667
1808,23.693333
1809,23.306000
1810,22.968666
1811,23.374001
1812,22.893333
1813,24.246000
1814,24.183332
1815,24.415333
1816,25.176001
1817,25.320667
1818,25.666668
1819,25.006666
1820,24.927334
1821,24.431999
1822,23.406000
1823,22.999332
1824,23.016666
1825,22.731333
1826,22.639999
1827,22.740000
1828,22.768667
1829,23.209333
1830,23.667334
1831,23.688667
1832,23.792000
1833,22.862667
1834,23.705999
1835,23.639999
1836,23.712000
1837,23.704666
1838,23.373333
1839,23.716667
1840,23.976667
1841,23.454000
1842,23.006666
1843,22.468000
1844,22.489332
1845,21.722668
1846,21.744667
1847,21.391333
1848,21.338667
1849,22.101999
1850,21.405333
1851,19.950666
1852,20.406000
1853,20.185333
1854,20.403334
1855,20.292667
1856,20.199333
1857,20.199333
1858,21.026667
1859,20.580000
1860,20.753332
1861,20.833332
1862,21.003332
1863,20.582666
1864,21.187332
1865,20.840000
1866,21.036667
1867,21.120667
1868,21.170000
1869,20.502666
1870,20.590000
1871,20.435333
1872,20.346666
1873,20.246668
1874,20.884001
1875,20.749332
1876,21.008667
1877,21.927334
1878,22.735332
1879,22.601999
1880,22.525999
1881,22.896667
1882,22.591333
1883,22.073334
1884,21.931999
1885,22.110666
1886,21.680000
1887,21.152666
1888,20.775999
1889,21.024000
1890,20.756666
1891,21.368668
1892,21.150000
1893,20.974667
1894,21.105333
1895,22.427334
1896,22.246000
1897,22.320000
1898,22.530001
1899,22.414667
1900,22.670668
1901,23.143999
1902,22.971333
1903,23.334667
1904,23.437332
1905,23.519333
1906,23.059334
1907,22.509333
1908,22.856667
1909,23.302000
1910,23.054667
1911,23.620667
1912,23.283333
1913,22.916668
1914,22.208668
1915,22.264668
1916,23.000000
1917,21.015333
1918,20.694668
1919,21.048668
1920,21.577333
1921,21.487333
1922,22.271334
1923,22.365999
1924,22.318001
1925,22.219999
1926,23.077999
1927,23.469999
1928,23.827999
1929,23.399332
1930,22.870667
1931,22.062000
1932,22.341333
1933,22.223333
1934,21.879999
1935,22.153334
1936,21.940001
1937,21.811333
1938,23.034000
1939,22.789333
1940,21.775333
1941,21.706667
1942,21.423332
1943,20.903999
1944,20.703333
1945,21.101999
1946,20.606667
1947,20.102667
1948,20.278667
1949,18.612000
1950,17.185333
1951,17.742001
1952,16.832001
1953,17.835333
1954,19.129333
1955,20.381332
1956,19.953333
1957,19.310667
1958,20.313334
1959,20.062000
1960,19.605333
1961,20.022667
1962,19.414000
1963,19.179333
1964,19.556667
1965,20.005333
1966,19.349333
1967,18.891333
1968,18.897333
1969,18.712667
1970,19.032000
1971,19.605333
1972,19.593332
1973,19.994667
1974,20.076668
1975,18.963333
1976,19.606001
1977,20.184668
1978,20.131332
1979,20.456667
1980,20.334667
1981,20.070667
1982,19.464666
1983,18.945333
1984,19.098667
1985,18.969334
1986,18.454666
1987,18.966000
1988,18.334000
1989,18.604668
1990,18.523333
1991,18.590000
1992,18.917334
1993,19.448000
1994,18.982000
1995,19.454666
1996,19.782667
1997,19.408667
1998,21.299999
1999,21.072666
2000,21.177334
2001,22.139999
2002,22.851334
2003,22.985332
2004,23.848000
2005,23.878000
2006,24.722000
2007,23.503332
2008,24.148001
2009,23.167334
2010,22.242001
2011,22.200666
2012,22.799999
2013,22.966667
2014,23.328667
2015,22.863333
2016,22.337999
2017,20.724001
2018,20.610666
2019,20.593332
2020,21.233999
2021,21.497999
2022,21.264000
2023,21.114000
2024,21.257999
2025,20.673332
2026,21.512667
2027,21.590000
2028,21.348667
2029,20.905333
2030,20.213333
2031,19.828667
2032,20.582666
2033,20.443333
2034,19.812000
2035,19.344667
2036,19.875999
2037,20.056000
2038,23.302668
2039,23.211332
2040,22.799334
2041,25.304667
2042,24.689333
2043,23.496668
2044,23.699333
2045,23.760668
2046,23.176001
2047,22.579332
2048,22.363333
2049,20.366667
2050,20.562668
2051,21.459999
2052,21.442667
2053,21.340000
2054,21.521334
2055,21.284666
2056,20.790667
2057,20.334000
2058,20.209999
2059,20.110666
2060,19.263332
2061,18.716000
2062,18.730000
2063,17.549334
2064,19.033333
2065,18.629333
2066,19.369333
2067,19.297333
2068,19.680000
2069,19.656000
2070,18.997334
2071,19.934668
2072,19.888666
2073,19.940001
2074,19.978666
2075,20.066000
2076,20.638666
2077,20.501333
2078,17.651333
2079,20.713333
2080,20.068001
2081,19.653334
2082,18.788668
2083,17.463333
2084,16.704000
2085,17.520000
2086,17.125334
2087,16.815332
2088,17.252001
2089,17.306000
2090,18.439333
2091,18.118668
2092,17.594000
2093,17.333332
2094,17.396667
2095,19.609333
2096,19.233334
2097,20.990667
2098,22.059999
2099,22.323334
2100,21.993334
2101,22.488001
2102,22.952000
2103,23.094000
2104,22.760000
2105,22.737333
2106,23.210667
2107,23.426666
2108,23.367332
2109,22.085333
2110,22.582001
2111,22.933332
2112,23.229334
2113,23.620667
2114,23.564667
2115,23.166000
2116,22.546000
2117,21.722000
2118,23.066668
2119,22.927999
2120,23.191334
2121,22.744667
2122,23.365334
2123,23.899332
2124,23.980000
2125,24.204000
2126,23.864668
2127,24.343332
2128,24.450666
2129,24.440001
2130,25.119333
2131,24.380667
2132,23.228001
2133,22.468666
2134,22.198000
2135,21.025333
2136,21.318001
2137,19.692667
2138,21.739332
2139,21.075333
2140,22.257999
2141,22.186666
2142,20.674667
2143,20.024000
2144,21.179333
2145,22.330667
2146,22.356667
2147,22.568666
2148,22.997999
2149,23.150667
2150,22.293333
2151,22.962000
2152,23.070000
2153,23.153999
2154,20.150667
2155,19.927999
2156,19.172667
2157,19.434000
2158,19.802668
2159,19.758667
2160,19.830667
2161,20.584667
2162,20.468000
2163,20.813999
2164,20.859333
2165,21.423332
2166,21.148001
2167,20.500668
2168,20.386667
2169,20.856001
2170,20.787333
2171,20.544666
2172,20.251333
2173,20.525333
2174,20.375999
2175,20.170668
2176,19.415333
2177,19.647333
2178,19.917999
2179,19.857332
2180,20.982668
2181,21.325333
2182,19.652666
2183,19.024000
2184,18.436001
2185,18.416000
2186,18.439333
2187,18.942667
2188,19.394667
2189,18.890667
2190,19.264000
2191,19.330667
2192,18.362000
2193,17.966000
2194,17.831333
2195,18.240000
2196,18.268000
2197,17.635332
2198,17.361334
2199,17.851334
2200,18.322001
2201,18.574667
2202,18.657333
2203,19.278667
2204,19.058666
2205,19.454000
2206,17.851999
2207,18.330667
2208,18.213333
2209,18.153999
2210,18.403999
2211,17.894667
2212,17.846666
2213,17.758667
2214,18.224001
2215,18.082001
2216,18.217333
2217,17.516666
2218,17.593332
2219,17.243999
2220,16.508667
2221,15.676000
2222,16.098000
2223,15.912667
2224,15.600667
2225,16.273333
2226,17.002001
2227,17.022667
2228,16.470667
2229,16.322666
2230,16.132000
2231,15.968000
2232,15.134000
2233,15.487333
2234,15.463333
2235,15.222000
2236,14.068667
2237,13.690667
2238,13.672000
2239,12.848667
2240,13.032667
2241,12.708667
2242,12.580000
2243,12.657333
2244,12.548000
2245,12.344000
2246,11.931333
2247,12.906667
2248,13.106000
2249,13.730000
2250,13.633333
2251,14.192000
2252,14.473333
2253,13.950667
2254,14.260667
2255,14.328000
2256,15.002000
2257,14.982667
2258,15.095333
2259,14.641333
2260,14.790667
2261,14.909333
2262,14.650667
2263,14.618000
2264,14.856000
2265,14.897333
2266,15.144667
2267,14.970000
2268,15.660000
2269,15.540000
2270,15.356000
2271,15.337333
2272,15.928000
2273,15.906667
2274,16.338667
2275,16.900000
2276,16.825333
2277,16.990667
2278,16.902666
2279,17.212000
2280,17.045334
2281,17.344667
2282,17.658667
2283,15.254667
2284,15.202667
2285,15.718000
2286,16.150667
2287,16.107332
2288,15.590000
2289,15.622667
2290,15.221333
2291,15.383333
2292,15.561333
2293,15.886667
2294,15.667333
2295,15.267333
2296,15.666667
2297,14.641333
2298,14.376000
2299,14.662667
2300,15.122000
2301,15.057333
2302,14.722000
2303,14.810000
2304,14.093333
2305,14.333333
2306,14.272000
2307,14.372667
2308,14.780667
2309,15.040667
2310,15.000667
2311,14.712000
2312,15.305333
2313,15.163333
2314,15.452667
2315,15.702667
2316,16.473333
2317,16.391333
2318,16.346666
2319,16.187332
2320,16.319332
2321,16.232668
2322,16.440001
2323,16.041332
2324,16.082001
2325,14.880667
2326,15.246667
2327,16.170668
2328,16.142000
2329,16.058001
2330,16.312668
2331,16.208668
2332,15.535333
2333,15.428667
2334,15.848000
2335,16.003332
2336,16.302000
2337,16.316000
2338,16.525999
2339,17.130667
2340,17.192667
2341,17.316668
2342,17.464666
2343,17.129999
2344,16.900000
2345,17.038668
2346,16.978666
2347,19.978666
2348,21.875334
2349,21.847334
2350,21.081333
2351,21.000668
2352,20.994667
2353,20.887333
2354,21.164667
2355,21.148001
2356,21.771999
2357,22.369333
2358,22.476000
2359,23.006001
2360,23.328667
2361,23.073999
2362,23.290001
2363,23.478001
2364,23.332666
2365,23.968000
2366,23.481333
2367,23.655333
2368,22.202667
2369,22.422667
2370,21.927999
2371,22.086000
2372,21.996000
2373,22.324667
2374,22.413334
2375,22.202000
2376,22.024668
2377,22.392668
2378,22.635332
2379,23.256001
2380,23.513332
2381,23.978666
2382,23.892668
2383,25.433332
2384,25.266001
2385,26.209999
2386,26.936001
2387,27.039333
2388,27.948000
2389,28.350000
2390,28.729334
2391,28.691999
2392,27.646667
2393,27.888666
2394,28.684000
2395,29.534000
2396,30.102667
2397,31.270666
2398,32.809334
2399,32.089333
2400,31.876667
2401,34.990665
2402,35.861332
2403,34.566666
2404,34.232666
2405,34.033333
2406,36.480000
2407,37.970669
2408,38.146667
2409,37.654667
2410,37.201332
2411,37.793331
2412,38.732666
2413,42.720669
2414,43.371334
2415,52.000000
2416,59.137333
2417,48.980000
2418,49.930668
2419,49.871334
2420,51.418667
2421,51.625332
2422,51.152668
2423,53.599998
2424,53.335335
2425,57.226665
2426,61.161331
2427,59.960667
2428,60.066666
2429,55.585999
2430,53.327332
2431,51.919998
2432,45.266666
2433,44.532665
